ParcelId,AddrNum,StPreDir,StName,StType,StSufDir,Address,WARD,NeighborhoodNumber,NeighborhoodName,LowAddrNum,LowAddrSuf,HighAddrNum,HighAddrSuf,Description,Usage,Class,LegalDescription,PropertyType,Side lot Eligible?,Stories,Irregular_Lot,Frontage,NbrOfUnits,SQFT
38449090000,1349,,HODIAMONT,AV,,1349   HODIAMONT AV ,13,78,Hamilton Heights,1349,,1349,,,Vacant Lot,A,C. B. 3844 HODIAMONT38 FT X 82 FT 4 IN / 85 FT 2 INFRUIT HILL ADDNBLK 21 LOT PT 1 2 3BND N-82 FT SSL MINERVA AVE,Lot,,0,,,,3181
43389105000,4865,,NORWICH,PL,,4865   NORWICH PL ,13,76,Walnut Park West,4865,,4865,,,Vacant Lot,A,C. B. 4338BW  NORWICH PL51.38 FT / 43 FT X 122.54 FT / 101.16 FTNORWICH PL ADDNLOT 4,Lot,,0,,,,5024
43809085000,4220,,AUBERT,AV,,4220   AUBERT AV ,12,69,Penrose,4220,,4220,,,Vacant Lot,A,C. B. 4380E AUBERT25 FT X 115 FTPENROSE HTS ADDNBLOCK 1LOT 12,Lot,,0,,,,2875
38349440000,1319,,HAMILTON,BLVD,,1319   HAMILTON BLVD ,13,78,Hamilton Heights,1319,,1319,,,Vacant Lot,A,C.B. 3834 S HAMILTON BLVD38 FT 2 1/4 IN / 38 FT 0 FT / 1/2 IN X124 FT 4 1/2 IN / 121 FT 2 1/2 INHAYDEN ROSE HILL ADDNLOT 26 N-27,Lot,,0,,,,4654
38199440000,1479,,BLACKSTONE,AV,,1479   BLACKSTONE AV ,13,78,Hamilton Heights,1479,,1479,,,Vacant Lot,A,C. B. 3819 WB BLACKSTONE AVE30 FT X 99 FT 8 INROSE HILL ADDNLOT PT 7BOUNDED N-215 FT S SL EASTON AVE,Lot,,0,,,,3001
38079290000,1382,,CLARA,AV,,1382   CLARA AV ,13,78,Hamilton Heights,1382,,1382,,two family,,,C. B. 3807 WA CLARA AVE25 FT X 119 FT 6 1/2 INCROSSWHITE ADDNLOT N33,,,2,,,,2984
38099160000,1230,,CLARA,AV,,1230   CLARA AV ,10,48,West End,1230,,1230,,,Vacant Lot,C,C. B. 3809 W CLARA31 FT X 122 FTCENTURY PL ADDN LT PT 6BD N-203 FT S SL PAGE,Lot,,0,,,,3790
52329180000,5050,,BEACON,AV,,5050   BEACON AV ,13,72,Walnut Park East,5050,,5050,,Demolished: 1 story frame,Vacant Lot,A,C. B. 5232 BEACON30 FT X 121 FT 6 INSTRODTMAN ADDNBLOCK 8LOT 32,Lot,,0,,,,3630
52329200000,5056,,BEACON,AV,,5056   BEACON AV ,13,72,Walnut Park East,5056,,5056,,1 story 1 unit brick,Residential,A,C. B. 5232 BEACON50 FT X 121 FT 1 1/2 INFLORISSANT AVE HILLS ADDNBLOCK 10LOT 34-35,Building,,1,,,,6048
52379090000,5722,,LABADIE,AV,,5722   LABADIE AV ,13,50,Wells Goodfellow,5722,,5724,,vacant lot w/ green lien,Vacant Lot,A,C. B. 5237 LABADIE AVE30 FT X 104 FT 5 IN/IRREGMOTOR HTS ADDNBLOCK 2LOT 16,Lot,,0,,,,3256
52419020000,5574,,GREER,AV,,5574   GREER AV ,13,50,Wells Goodfellow,5574,,5574,,2 story 2 unit (SC),Residential,A,C. B. 5241 GREER AVE25 FT X 120 FT 6 INARLINGTON GROVE ADDNBLOCK 5LOT 14,Building,,2,,,2,2995
56379450000,809,,GRAPE,AV,,809   GRAPE AV ,13,74,Baden,809,,809,,,Vacant Lot,A,C. B. 5637 GRAPE AVE9 FT 07 / 8 IN X 22 FTGAST PLACE ADDNBLOCK 3 LOT SW 29BND E 115 FT W OF BROADWAY,Lot,,0,Yes,,,222
19399110000,4034,,GROVE,ST,,4034   GROVE ST ,14,67,Fairground Neighborhood,4034,,4036,,2 story 4 unit brick,Residential,A,C.B.1939 GROVE42 FT/45 FT 5 IN X 88 FT 4 IN/IRREGGEO BAILEY ADDNLOT 17 & N-16,Building,,2,,,,3807
19399181000,4027,,GLASGOW,AV,,4027   GLASGOW AV ,14,67,Fairground Neighborhood,4027,,4033,,,Vacant Lot,A,CB 1939 GLASGOW75 FT X 88 FT 1 IN/88 FT 4 INBAILEYS 1ST ADDNBLK 4 LOTS 27 THRU 29,Lot,,0,,,,6453
18709040000,3730,,GARFIELD,AV,,3730   GARFIELD AV ,11,59,Jeff Vanderlou,3730,,3730,,,Vacant Lot,A,C. B. 1870 GARFIELD AVE30 FT 6 IN X 120 FTPAGES 2ND W ADDNLOTS 34 & E-35,Lot,Yes,0,,,,3815
53989225000,4982,,WREN,AV,,4982   WREN AV ,13,72,Walnut Park East,4982,,4984,,,Vacant Lot,A,C B 5398 WREN25FT X 69FT 36INBIRCHER SUBDN 69FT OF W PTLOT 10,Lot,Yes,0,,,,1713
54339270000,1119,,CANAAN,AV,,1119   CANAAN AV ,13,74,Baden,1119,,1119,,,Vacant Lot,A,C.B.5433 CANAAN28 FT X 125 FTHORNSBY HTS ADDNLOT W-23,Lot,Yes,0,,,,3500
53449050000,6056,,HARNEY,AV,,6056   HARNEY AV ,13,76,Walnut Park West,6056,,6056,,1 story 1 unit frame,Residential,A,C. B. 5344 HARNEY AVE25 FT X 125 FTW WALNUT PK ADDNBLOCK 3LOT 7,Building,,1,,,,3123
11419050000,1520,,PALM,ST,,1520   PALM ST ,14,63,Old North St. Louis,1520,,1524,,,Vacant Lot,A,C.B. 1141 PALM ST60 FT 5 IN X 147 FT 4 INFARRAR ADDN BLOCK 11BOUNDED W- 19TH ST,Lot,,0,,,,8902
38309060000,6008,,SUBURBAN,AV,,6008   SUBURBAN AV ,10,48,West End,6008,,6008,,,Vacant Lot,C,C. B. 3830 A SUBURBAN31 FT X 111 FT / 108 FTDWYER ADDNLOT E-32 W-33,Lot,,0,,,,3409
60989390000,5879,,TERRY,AV,,5879   TERRY AV ,13,50,Wells Goodfellow,5879,,5881,,,Vacant Lot,A,C. B. 6098 TERRY42 FT X 125 FTHAMILTON HTS 1ST ADDNBLOCK 3LOT E4 W5,Lot,,0,,,,5242
44669340000,3103,,NEW ASHLAND,PL,,3103   NEW ASHLAND PL ,12,56,Greater Ville,3103,,3103,,,Vacant Lot,C,C. B. 4466 2 NEW ASHLAND25 FT X 134 FT 5 INCLAYS OR TR ADDNBD N 465 FT S SL ASHLAND,Lot,,0,,,,3363
43889565000,4875,,SACRAMENTO,AV,,4875 R  SACRAMENTO AV ,12,69,Penrose,4875,R,4875,R,,Vacant Lot,A,C. B. 4388S SACRAMENTO2 FT X 120 FTBEYERT PL ADDNLOT E-42,Lot,Yes,0,Yes,,,240
52379020000,5742,,LABADIE,AV,,5742   LABADIE AV ,13,50,Wells Goodfellow,5742,,5744,,vacant lot w/ green lien,Vacant Lot,A,C. B. 5237 LABADIE42 FT/43 FT X 106 FT/100 FTMOTOR HEIGHTS ADDNBLOCK 2LOT E-7 W-8,Lot,,0,,,,4097
52379030000,5746,,LABADIE,AV,,5746   LABADIE AV ,13,50,Wells Goodfellow,5746,,5748,,vacant lot w/ green lien,Vacant Lot,A,C. B. 5237 LABADIE42 FT/43 FT X 101 FT/86 FTMOTOR HEIGHTS ADDNBLOCK 2LOT 9-E-8 & W-10,Lot,,0,,,,4465
52419010000,3016,,CLARA,AV,,3016   CLARA AV ,13,50,Wells Goodfellow,3016,,3020,,,Vacant Lot,A,C. B. 5241 GREER41 FT 11 1/4 IN X 120 FT 6 INPRENDERGASTS ARLINGTON GR ADDNBLOCK 5LOT 13,Lot,,0,,,,5003
52569030000,5574,,ST EDWARD,AV,,5574   ST EDWARD AV ,13,50,Wells Goodfellow,5574,,5574,,,Vacant Lot,A,C. B. 5256 ST EDWARD AVE25 FT X 108 FTST EDWARDS ADDNBLOCK 2 LOT 17,Lot,,0,,,,2692
04829410000,1002,S,18TH,ST,,1002  S 18TH ST ,8,32,Lafayette Square,1002,,1002,,,Vacant Lot,C,C.B. 0482 WA 18TH ST3.17/2.13 X 23.22/24.00ST VINCENT SOCIETY ADDNLOT N 47,Lot,,0,Yes,,,53
44719270000,4657,,ST FERDINAND,AV,,4657   ST FERDINAND AV ,12,56,Greater Ville,4657,,4657,,Demolished: 2 story brick,Vacant Lot,A,C. B. 4471 ST FERDINAND AV18 FT 6 IN X 130 FT 8 3/4 INSELLS ADDNLOT W-42 E-43,Lot,,0,,,,2419
44779145000,4707,,HAMMETT,PL,,4707   HAMMETT PL ,12,55,Kingsway East,4707,,4707,,,Vacant Lot,A,C B 4477A HAMMETT47 FT / IRREG X 138 FT 0 3/4 IN /193 FT 0 3/4 INHAMMETT PL ADDNLOT SW-22,Lot,,0,,,,6810
48379010000,5092,,ENRIGHT,AV,,5092   ENRIGHT AV ,10,51,Academy,5092,,5092,,Demolished: 2 story brick,Vacant Lot,C,C. B. 4837 ENRIGHT24 FT 6 IN X 116 FTMT CABANNE ADDNLOT NW-20,Lot,Yes,0,,,,2842
44259370000,4116,,CLARENCE,AV,,4116   CLARENCE AV ,11,68,O'Fallon,4116,,4116,,,Vacant Lot,A,C. B. 4425 CLARENCE25 FT X 115 FTROSENBERG & BERRY=S ADDNLOT 29,Lot,,0,,,,2881
36819320000,1520,,ANNIE MALONE,DR,,1520   ANNIE MALONE DR ,12,57,The Ville,1520,,1520,,,Vacant Lot,C,C. B. 3681 GOODE AVE25 FT X 114 FTWASH HGTS ADDNLOT PT 6 THRU 9BND 52 FT S SL OF ALDINE,Lot,,0,,,,2850
36219270000,3133,,LAMBDIN,AV,,3133   LAMBDIN AV ,12,56,Greater Ville,3133,,3133,,,Vacant Lot,C,C. B. 3621 LAMBOIN AVE33 FT 4 IN X 100 FTCLAY ORCHARD TRACT ADDNLOT S 16 17,Lot,,0,,,,3354
36979260000,4307,,COTE BRILLIANTE,AV,,4307   COTE BRILLIANTE AV ,12,57,The Ville,4307,,4307,,,Vacant Lot,C,C. B. 3697 COTE BRILLIANTE AVE17 FT 4 1/2 IN X 130 FTELLEARD ADDNLOT SE-13 E-16,Lot,,0,,,,2265
36199280000,3206,N,NEWSTEAD,AV,,3206  N NEWSTEAD AV ,12,56,Greater Ville,3206,,3206,,,Vacant Lot,A,C.B.3619 NEWSTEAD27FT X 97.8 FTSCANLONS ADDNLOT 41,Lot,,0,,,,2629
36199290000,3208,N,NEWSTEAD,AV,,3208  N NEWSTEAD AV ,12,56,Greater Ville,3208,,3208,,,Vacant Lot,C,C.B.3619 NEWSTEAD AV26 FT 3 IN X 97.81 FTSCANLON ADDNLOT S 42,Lot,,0,,,,2555
36299325000,2707,,PRAIRIE,AV,,2707   PRAIRIE AV ,11,59,Jeff Vanderlou,2707,,2707,,vacant lot w/ green lien,Vacant Lot,A,C.B.3629 B PRAIRIE29FT 8 IN X 130FTT D MURPHYS 2ND ADDNBLOCK 19 LOT N 2 S 3,Lot,,0,,,,3857
36249470000,3033,N,SARAH,ST,,3033  N SARAH ST ,12,56,Greater Ville,3033,,3033,,2 story 2 unit brick,Residential,A,C. B. 3624 SARAH ST25FT X 115 FT 6 INORCHARD PL ADDNBLOCK 1 LOT 37,Building,,2,,,,2891
36439210000,3916,,LINCOLN,AV,,3916   LINCOLN AV ,12,56,Greater Ville,3916,,3916,,,Vacant Lot,A,C B 3643 LINCOLN AV25 FT X 120 FTMURPHYS 2ND ADDNBLOCK 17 LOT 50,Lot,,0,,,,2997
36399040000,3944,,GARFIELD,AV,,3944   GARFIELD AV ,12,56,Greater Ville,3944,,3944,,,Vacant Lot,A,CB.3639 GARFIELD37FT /41FT X 123FT 8 INMURPHYS ADDNBLOCK 5LOT E 19 & W 20,Lot,,0,,,,4738
35669040000,4128,W,GREEN LEA,PL,,4128  W GREEN LEA PL ,11,68,O'Fallon,4128,,4128,,,Vacant Lot,A,C. B. 3566 GREEN LEA PL25 FT X 140 FTGREEN LEA PLACE ADDNLOT 25,Lot,,0,,,,3523
35879550000,3845,,SHERMAN,PL,,3845   SHERMAN PL ,11,67,Fairground Neighborhood,3845,,3845,,,Vacant Lot,A,C B 3587 SHERMAN PL25 FT X 110 FTCLINE & JAMISONS SUBDNLOT 68,Lot,,0,,,,2751
33529190000,2119,E,PRAIRIE,AV,,2119  E PRAIRIE AV ,14,66,College Hill,2119,,2121,,,Vacant Lot,A,C B 3352 E PRAIRIE AV39 FT 9 IN X 110 FT 4 IN / 112 FTGRATZ & BROWN ADDNLOT 9 & 10BLK 7,Lot,,0,,,,4496
24099130000,1429,,NEWHOUSE,AV,,1429   NEWHOUSE AV ,14,65,Hyde Park,1429,,1429,,3 story mixed use (SC),Mixed-Use,A,CB 2409 NEWHOUSE25 FT / 24 FT X 127 FTNEWHOUSE LAND ADDNBND W BY BLAIRBTO SEE 24090001300,Building,,3,,,1,3206
24339200000,4413,,STRODTMAN,PL,,4413   STRODTMAN PL ,14,66,College Hill,4413,,4413,,2 story 2 unit brick,Residential,C,C B 2433 STRODTMAN35 FT X 120 FT.BISSELL PK ADDNLOT N-17,Building,,2,,,,4219
24399225000,1407,,PENROSE,ST,,1407   PENROSE ST ,14,65,Hyde Park,1407,,1407,,vacant lot w/ green lien,Vacant Lot,A,C. B. 2439 S PENROSE30 FT X 120 FTMONTGOMERY ADDNLOT 11,Lot,Yes,0,,,,3599
24809030000,2124,,JOHN,AV,,2124   JOHN AV ,14,66,College Hill,2124,,2124,,,Vacant Lot,C,C. B. 2480 JOHN26 FT 3 IN X 112 FT 6 INBRYANS 2ND ADDNLOTS W-9 & E-4,Lot,,0,,,,2953
18879400000,1911,,LAFLIN,ST,,1911   LAFLIN ST ,11,59,Jeff Vanderlou,1911,,1911,,,Vacant Lot,,C. B. 1887 LAFLIN25 FT X 120LAFLIN & SMITH ADDNBLOCK 3LOT 1,Lot,Yes,0,,,,3021
23999070000,4024,,GLASGOW,AV,,4024   GLASGOW AV ,14,65,Hyde Park,4024,,4024,,,Vacant Lot,A,C. B.2399 GLASGOW25 FT X 106 FT 1 1/4 INBENTON ADDNLOT 37,Lot,,0,,,,2653
24049030000,3932,N,FLORISSANT,AV,,3932  N FLORISSANT AV ,14,65,Hyde Park,3932,,3932,,,Vacant Lot,C,C. B. 2404 N FLORISSANT25 FT X 123 FT 4 INCRAWFORD ADDNLOT 18,Lot,,0,,,,3094
11299090000,2925,N,13TH,ST,,2925  N 13TH ST ,14,63,Old North St. Louis,2925,,2925,,,Vacant Lot,A,C. B. 1129 13TH ST15 FT 1 1/2 IN X 75 FTE UNION ADDN LOT PTS 8 TO 10BOUNDED N 80 FT 5 1/2 IN S OF HEBERT ST,Lot,,0,,,,1237
37729400000,4619,,NEWBERRY,TER,,4619   NEWBERRY TER ,10,54,Lewis Place,4619,,4619,,2.5 story 1 unit brick,Residential,A,C. B. 3772 NEWBERRY TERRACE25 FT X 145 FTPAGE AVE ADDNBLOCK 3LOT W41,Building,,2.5,,,,3627
37759140000,4581,,EVANS,AV,,4581   EVANS AV ,10,54,Lewis Place,4581,,4581,,,Vacant Lot,C,C. B. 3775 E EVANS AVE25 FT X 124 FT 8 INTYLER PL ADDNLOT PT 104BND E 250 FT W W L DEER ST,Lot,,0,,,,3118
